model,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std,cv_f1_mean,cv_recall_mean,cv_precision_mean
Gradient Boosting,0.9518800487671537,0.003756896024845495,0.8676853636499089,0.0050854912772635335,0.8111442315207862,0.7179640718562874,0.9321839818394645
Random Forest,0.9371200504485241,0.002070503071879795,0.8403489007332808,0.004716684564749232,0.7683333824026876,0.7637724550898203,0.7731256681458396
Logistic Regression,0.9029967143152134,0.0035250293047354338,0.6961254817359012,0.008678489551215047,0.5949768927005047,0.8191616766467066,0.4671721791656154
